                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.73368,                0.49849,                 1.1286,                 0.8107,                 0.8188,                0.83214,                0.52623,                 1.4049,                0.84685,                  1.894,             4.9398e-05,             4.9398e-05,             4.9398e-05
                     75,                0.72935,                0.49693,                 1.1257,                0.83281,                0.78796,                0.84168,                0.54094,                 1.3884,                0.83067,                 1.8767,             4.7696e-05,             4.7696e-05,             4.7696e-05
                     76,                0.72896,                0.48784,                 1.1281,                0.82442,                0.81775,                 0.8331,                0.52655,                 1.4123,                0.82766,                 1.9123,             4.5993e-05,             4.5993e-05,             4.5993e-05
                     77,                0.72354,                  0.483,                 1.1203,                0.80831,                0.83017,                0.83567,                0.53432,                  1.409,                0.84484,                 1.9072,              4.429e-05,              4.429e-05,              4.429e-05
                     78,                0.71935,                0.48225,                 1.1258,                0.80761,                0.82739,                  0.833,                0.52846,                 1.4078,                0.83765,                 1.9151,             4.2587e-05,             4.2587e-05,             4.2587e-05
                     79,                0.71562,                0.48342,                 1.1258,                 0.8203,                0.80936,                0.83113,                0.52901,                 1.4123,                0.84223,                 1.9176,             4.0884e-05,             4.0884e-05,             4.0884e-05
                     80,                0.70504,                0.47565,                  1.113,                0.81175,                0.81317,                 0.8321,                0.52996,                 1.4004,                0.84457,                 1.9041,             3.9182e-05,             3.9182e-05,             3.9182e-05
                     81,                0.70008,                0.46992,                 1.1153,                0.79999,                0.83578,                0.83476,                0.52991,                 1.4043,                0.83193,                 1.9209,             3.7479e-05,             3.7479e-05,             3.7479e-05
                     82,                0.69728,                0.46102,                 1.1102,                0.79763,                0.82317,                0.82391,                0.52857,                 1.4061,                0.87426,                 1.9175,             3.5776e-05,             3.5776e-05,             3.5776e-05
                     83,                0.69511,                0.45931,                 1.1111,                0.82324,                0.81551,                0.82867,                0.52998,                    1.4,                0.84796,                 1.9202,             3.4073e-05,             3.4073e-05,             3.4073e-05
                     84,                0.69057,                0.45977,                 1.1065,                0.80787,                0.81853,                0.83028,                0.52798,                  1.403,                0.84197,                 1.9219,              3.237e-05,              3.237e-05,              3.237e-05
                     85,                 0.6801,                0.45984,                 1.0986,                0.81882,                0.82287,                0.83358,                0.53223,                 1.3956,                 0.8436,                 1.9184,             3.0668e-05,             3.0668e-05,             3.0668e-05
                     86,                0.68538,                0.45668,                 1.1026,                0.82028,                0.83192,                0.83926,                0.52782,                 1.4165,                 0.8281,                 1.9497,             2.8965e-05,             2.8965e-05,             2.8965e-05
                     87,                0.66611,                0.44118,                 1.0904,                0.82032,                0.82637,                0.83638,                0.52995,                 1.4174,                0.84834,                 1.9487,             2.7262e-05,             2.7262e-05,             2.7262e-05
                     88,                0.67607,                 0.4613,                 1.1004,                0.83077,                0.82098,                0.83928,                0.53437,                 1.4074,                0.82681,                 1.9417,             2.5559e-05,             2.5559e-05,             2.5559e-05
                     89,                0.66883,                0.43992,                 1.0918,                0.83503,                0.81756,                0.83736,                0.53188,                 1.4066,                0.82919,                 1.9418,             2.3856e-05,             2.3856e-05,             2.3856e-05
                     90,                0.67016,                0.44624,                 1.0939,                0.83113,                0.81464,                0.83784,                0.53119,                 1.4195,                0.84394,                 1.9633,             2.2154e-05,             2.2154e-05,             2.2154e-05
                     91,                0.56807,                0.32039,                 1.0517,                0.82284,                0.82245,                0.83856,                0.53096,                 1.4203,                0.82699,                  1.969,             2.0451e-05,             2.0451e-05,             2.0451e-05
                     92,                0.55522,                0.30354,                 1.0379,                0.82643,                0.81963,                0.83879,                0.53486,                 1.4108,                0.83755,                 1.9724,             1.8748e-05,             1.8748e-05,             1.8748e-05
                     93,                0.54696,                 0.3045,                 1.0319,                0.81729,                0.83563,                0.83827,                0.53648,                 1.4103,                0.82782,                  1.966,             1.7045e-05,             1.7045e-05,             1.7045e-05
                     94,                0.54304,                 0.3051,                 1.0319,                0.80561,                 0.8415,                0.84147,                0.53787,                   1.41,                0.82392,                  1.964,             1.5342e-05,             1.5342e-05,             1.5342e-05
                     95,                0.53273,                0.29286,                 1.0199,                0.80945,                0.83759,                0.84131,                0.53882,                 1.4071,                 0.8269,                 1.9731,              1.364e-05,              1.364e-05,              1.364e-05
                     96,                0.52693,                 0.2962,                  1.017,                0.80488,                0.83476,                0.84155,                0.53714,                 1.4171,                0.83835,                 1.9821,             1.1937e-05,             1.1937e-05,             1.1937e-05
                     97,                0.52706,                 0.2969,                 1.0151,                0.81264,                0.83331,                0.84051,                0.53968,                 1.4093,                0.82794,                  1.975,             1.0234e-05,             1.0234e-05,             1.0234e-05
                     98,                 0.5215,                0.29424,                 1.0123,                0.81447,                0.82846,                0.84042,                0.53668,                 1.4069,                0.83519,                 1.9691,             8.5312e-06,             8.5312e-06,             8.5312e-06
                     99,                0.51985,                0.28236,                 1.0114,                0.80866,                0.83642,                0.83833,                0.53724,                 1.4017,                0.83756,                 1.9567,             6.8284e-06,             6.8284e-06,             6.8284e-06
                    100,                0.51072,                0.27801,                  1.005,                0.82568,                0.81563,                0.84041,                0.54137,                 1.4027,                0.84543,                 1.9578,             5.1256e-06,             5.1256e-06,             5.1256e-06
